Role,Skills
Data Scientist,"Python Machine Learning SQL Pandas NumPy Data Visualization"
Machine Learning Engineer,"Python TensorFlow Scikit-learn Deep Learning NLP"
AI Engineer,"Python TensorFlow PyTorch Deep Learning Computer Vision"
Data Analyst,"Excel SQL Python Power BI Statistics"
Backend Developer,"Python Django Flask REST API SQL"
Frontend Developer,"HTML CSS JavaScript React Bootstrap"
Full Stack Developer,"HTML CSS JavaScript React Node.js MongoDB Express"
Cloud Engineer,"AWS Azure Docker Linux Kubernetes"
DevOps Engineer,"Docker Kubernetes Jenkins Linux AWS CI/CD"
Cyber Security Analyst,"Networking Linux Python Ethical Hacking Security"
Software Engineer,"Java Python C++ Data Structures Algorithms OOP"
Mobile App Developer,"Flutter Dart Firebase Android"
